,Package,Version,License,Depends,Imports,Suggests,Bioc_Category,Bioc_Version,Bioc_Date
0,TypeInfo,1.12.0,BSD,methods,,,Software,2.5,2009-10-28
1,snapCGH,1.16.0,GPL,"limma,tilingArray,DNAcopy,GLAD,cluster, methods,aCGH",,,Software,2.5,2009-10-28
2,RTools4TB,1.2.0,LGPL,"R (>= 2.5.1),Biobase,limma, methods",,"RColorBrewer,biocGraph,ALL",Software,2.5,2009-10-28
3,OLIN,1.24.0,GPL-2,"R (>= 2.5.0), methods, stats,locfit,Biobase,marray",,"convert,limma",Software,2.5,2009-10-28
4,GGtools,3.4.0,Artistic-2.0,"R (>= 2.7.0), methods,Biobase(>= 1.11.26),GGBase(>= 3.2.17),GSEABase, snpMatrix(>= 1.7.3),RColorBrewer,RSQLite,Biostrings,rpart","AnnotationDbi,IRanges(>= 1.1.6),annaffy","illuminaHumanv1.db,org.Hs.eg.db,SNPlocs.Hsapiens.dbSNP.20071016,mapLD,haplo.stats",Software,2.5,2009-10-28
5,CNVtools,1.40.2,GPL-3,survival,,,Software,2.5,2009-10-28
6,GEOquery,2.11.3,GPL-2,"methods,Biobase,RCurl",,"limma,RUnit",Software,2.5,2009-10-28
7,EBarrays,2.10.0,GPL (>= 2),"R (>= 1.8.0),Biobase, utils,lattice,cluster, methods",,,Software,2.5,2009-10-28
8,SNPchip,1.10.0,LGPL (>= 2),"R (>= 2.6.0),Biobase(>= 2.5.5), methods,oligoClasses(>= 1.7.8), graphics","Biobase(>= 2.5.5), graphics, grDevices, methods,oligoClasses(>= 1.7.8), stats, utils","RSQLite,VanillaICE,RColorBrewer,genefilter,pd.mapping50k.xba240",Software,2.5,2009-10-28
9,GGBase,3.6.0,Artistic-2.0,"R (>= 2.7.0), methods,Biobase(>= 2.5.5),GSEABase, snpMatrix(>= 1.7.6),RSQLite",AnnotationDbi,"GGtools,illuminaHumanv1.db",Software,2.5,2009-10-28
10,affyPLM,1.22.0,GPL (>= 2),"R (>= 2.6.0),affy(>= 1.11.0),Biobase, methods,gcrma, stats,preprocessCore(>= 1.5.1)",,affydata,Software,2.5,2009-10-28
11,ArrayExpress,1.6.2,Artistic-2.0,"R (>= 2.9.0),Biobase(>= 2.4.0)","XML,affy,limma",,Software,2.5,2009-10-28
12,beadarray,1.14.0,GPL,"Biobase(>= 2.5.5), methods","hwriter,limma","lumi,vsn,affy",Software,2.5,2009-10-28
13,bridge,1.10.0,GPL (>= 2),"R (>= 1.9.0),rama",,,Software,2.5,2009-10-28
