"Package","Version","CRANRelease","SnapshotFirstDate","SnapshotLastDate","Depends","Imports","License","Suggests"
"A3","0.9.2","2013-03-26 19:58:40","2013-09-03","2015-04-20","R (>= 2.15.0), xtable, pbapply",,"GPL (>= 2)","randomForest, e1071"
"ABCExtremes","1.0","2013-05-15 10:45:56","2013-09-03","2015-04-20","SpatialExtremes, combinat",,"GPL-2",
"ABCanalysis","1.0","2015-02-13 11:27:50","2015-02-19","2015-04-20","R (>= 2.10)","Hmisc, plotrix","GPL-3",
"ABCoptim","0.13.10","2013-11-05 18:00:00","2013-10-22","2013-11-06",,,"GPL (>= 3)",
"ABCoptim","0.13.11","2013-11-06 07:10:57","2013-11-07","2015-04-20",,,"GPL (>= 3)",
"ABCp2","1.1","2013-07-23 23:26:54","2013-09-03","2015-04-20","MASS",,"GPL-2",
"ACCLMA","1.0","2012-10-29 13:13:35","2013-09-03","2015-04-20",,,"GPL-2",
"ACD","1.5","2013-03-21 10:14:43","2013-09-03","2013-11-01","R(>= 2.13.0)",,"GPL (>= 2)",
"ACD","1.5.3","2013-10-31 20:59:05","2013-11-02","2015-04-20","R(>= 2.13.0)",,"GPL (>= 2)",
"ACNE","0.5.0","2011-10-25 09:46:52","2013-09-03","2013-10-21","R (>= 2.10.0), R.methodsS3 (>= 1.2.1), R.oo (>= 1.8.2), matrixStats (>= 0.3.0), aroma.affymetrix (>= 2.2.0), MASS","R.utils (>= 1.8.5)","LGPL (>= 2.1)",
"ACNE","0.7.0","2013-10-19 00:11:22","2013-10-22","2015-02-25","R (>= 2.15.0), aroma.affymetrix (>= 2.11.0)","MASS, R.methodsS3 (>= 1.5.2), R.oo (>= 1.15.8), R.utils (>= 1.27.1), matrixStats (>= 0.8.12), R.filesets (>= 2.3.0)","LGPL (>= 2.1)",
"ACNE","0.8.0","2015-02-23 23:14:43","2015-02-26","2015-04-20","R (>= 3.0.0), aroma.affymetrix (>= 2.13.0)","MASS, R.methodsS3 (>= 1.7.0), R.oo (>= 1.18.0), R.utils (>= 1.34.0), matrixStats (>= 0.14.0), R.filesets (>= 2.7.0), aroma.core (>= 2.13.0)","LGPL (>= 2.1)","DNAcopy"
"ACTCD","1.0-0","2013-10-22 00:50:47","2013-10-24","2015-04-20","R (>= 2.15.1), R.methodsS3",,"GPL (>= 2)",
"ADDT","1.0","2014-09-26 07:55:38","2014-09-30","2015-04-20",,,"GPL-2",
"ADGofTest","0.3","2011-12-28 14:50:21","2013-09-03","2015-04-20",,,"GPL",
"ADM3","1.2","2012-12-18 15:53:11","2013-09-03","2013-12-04","",,"GPL (>= 2)",
"ADM3","1.3","2013-12-03 10:25:30","2013-12-05","2015-04-20","",,"GPL (>= 2)",
"AER","1.1-9","2011-12-10 20:14:50","2013-09-03","2013-10-02","R (>= 2.10.0), stats, car (>= 2.0-1), Formula (>= 0.2-0), lmtest, sandwich, strucchange, survival, zoo","stats","GPL-2","boot, dynlm, effects, foreign, ineq, KernSmooth, lattice, MASS, mlogit, nlme, nnet, np, plm, pscl, quantreg, ROCR, sampleSelection, scatterplot3d, systemfit, rgl, truncreg, tseries, urca"
"AER","1.2-0","2013-10-01 19:32:45","2013-10-03","2013-11-08","R (>= 2.13.0), car (>= 2.0-1), lmtest, sandwich, survival, zoo","stats, Formula (>= 0.2-0)","GPL-2","boot, dynlm, effects, foreign, ineq, KernSmooth, lattice, MASS, mlogit, nlme, nnet, np, plm, pscl, quantreg, ROCR, sampleSelection, scatterplot3d, strucchange, systemfit, rgl, truncreg, tseries, urca"
"AER","1.2-1","2013-11-07 19:57:30","2013-11-09","2014-01-29","R (>= 2.13.0), car (>= 2.0-1), lmtest, sandwich, survival, zoo","stats, Formula (>= 0.2-0)","GPL-2","boot, dynlm, effects, foreign, ineq, KernSmooth, lattice, MASS, mlogit, nlme, nnet, np, plm, pscl, quantreg, ROCR, sampleSelection, scatterplot3d, strucchange, systemfit, rgl, truncreg, tseries, urca"
"AER","1.2-2","2014-01-28 17:50:57","2014-01-30","2015-02-25","R (>= 2.13.0), car (>= 2.0-1), lmtest, sandwich, survival, zoo","stats, Formula (>= 0.2-0)","GPL-2","boot, dynlm, effects, foreign, ineq, KernSmooth, lattice, MASS, mlogit, nlme, nnet, np, plm, pscl, quantreg, ROCR, sampleSelection, scatterplot3d, strucchange, systemfit, rgl, truncreg, tseries, urca"
"AER","1.2-3","2015-02-24 20:08:11","2015-02-26","2015-04-20","R (>= 2.13.0), car (>= 2.0-1), lmtest, sandwich, survival (>= 2.37-5), zoo","stats, Formula (>= 0.2-0)","GPL-2 | GPL-3","boot, dynlm, effects, foreign, ineq, KernSmooth, lattice, MASS, mlogit, nlme, nnet, np, plm, pscl, quantreg, ROCR, sampleSelection, scatterplot3d, strucchange, systemfit, rgl, truncreg, tseries, urca"
"AFLPsim","0.1-4","2013-08-18 13:49:20","2013-09-03","2013-10-30","R (>= 2.15.0)","adegenet, introgress","GPL (>= 2)",
"AFLPsim","0.2-2","2013-10-29 18:55:34","2013-10-31","2014-04-18","R (>= 2.15.0)","adegenet, introgress","GPL (>= 2)",
"AFLPsim","0.3-3","2014-04-16 22:42:09","2014-04-19","2014-12-26","R (>= 2.15.0)","adegenet, introgress","GPL (>= 2)",
"AFLPsim","0.3-4","2014-12-24 06:08:03","2014-12-27","2015-04-20","R (>= 2.15.0)","adegenet, introgress","GPL (>= 2)",
"AGD","0.30","2012-05-08 16:48:20","2013-09-03","2014-12-22","R (>= 2.10.0), gamlss",,"GPL-2 | GPL-3",""
"AGD","0.31","2014-12-22 01:26:08","2014-12-23","2015-01-12","R (>= 2.10.0)","gamlss, gamlss.dist","GPL-2 | GPL-3",
"AGD","0.32","2015-01-11 23:13:16","2015-01-13","2015-04-20","R (>= 2.10.0)","gamlss, gamlss.dist","GPL-2 | GPL-3",
"AGSDest","2.1","2013-11-06 14:03:34","2013-11-09","2015-01-30","ldbounds",,"GPL (>= 2)",
"AGSDest","2.2","2015-01-29 20:37:36","2015-01-31","2015-04-20",,"ldbounds","GPL (>= 2)",
"AICcmodavg","1.32","2013-07-09 17:40:36","2013-09-03","2013-09-13","methods, stats",,"GPL (>= 2)","lme4, MASS, Matrix, nlme, nnet, ordinal, R2jags, R2OpenBUGS, R2WinBUGS, stats4, survival, unmarked"
"AICcmodavg","1.33","2013-09-12 17:46:32","2013-09-14","2013-11-15","methods, stats",,"GPL (>= 2)","lme4, MASS, Matrix, nlme, nnet, ordinal, R2jags, R2OpenBUGS, R2WinBUGS, stats4, survival, unmarked"
"AICcmodavg","1.34","2013-11-14 16:56:46","2013-11-16","2013-11-20","methods, stats",,"GPL (>= 2)","lme4, MASS, Matrix, nlme, nnet, ordinal, R2jags, R2OpenBUGS, R2WinBUGS, stats4, survival, unmarked"
"AICcmodavg","1.35","2013-11-19 00:28:18","2013-11-21","2014-07-16","methods, stats",,"GPL (>= 2)","lme4, MASS, Matrix, nlme, nnet, ordinal, R2jags, R2OpenBUGS, R2WinBUGS, stats4, survival, unmarked"
"AICcmodavg","2.0-1","2014-10-17 19:51:55","2014-11-04","2015-01-09","R (>= 3.0.0)","methods, stats, graphics, lattice, MASS, Matrix, nlme, stats4, unmarked, VGAM","GPL (>= 2)","betareg, coxme, lme4, maxlike, nnet, ordinal, pscl, R2jags, R2OpenBUGS, R2WinBUGS, survival"
"AICcmodavg","2.0-2","2015-01-09 00:19:33","2015-01-10","2015-01-16","R (>= 3.0.0)","methods, stats, graphics, lattice, MASS, Matrix, nlme, stats4, unmarked, VGAM, xtable","GPL (>= 2)","betareg, coxme, lme4, maxlike, nnet, ordinal, pscl, R2jags, R2OpenBUGS, R2WinBUGS, survival"
"AICcmodavg","2.0-3","2015-01-16 00:02:26","2015-01-20","2015-04-20","R (>= 3.0.0)","methods, stats, graphics, lattice, MASS, Matrix, nlme, stats4, unmarked, VGAM, xtable","GPL (>= 2)","betareg, coxme, lme4, maxlike, nnet, ordinal, pscl, R2jags, R2OpenBUGS, R2WinBUGS, survival"
