,biocViews,Enhances,LinkingTo,License,URL,Imports,Suggests Me,Suggests,Depends,Version,SystemRequirements,Imports Me,Depends On Me
BSgenome.Alyrata.JGI.v1,"Alyrata,AnnotationData,Genetics",,,Artistic-2.0,,BSgenome,,,BSgenome(>= 1.19.5),1.0.0,,,
BSgenome.Amellifera.BeeBase.assembly4,"AnnotationData,Apis_mellifera,BSgenome,Genetics",,,Artistic-2.0,,BSgenome,,,BSgenome(>= 1.33.5),1.4.0,,,
BSgenome.Amellifera.UCSC.apiMel2,"AnnotationData,Apis_mellifera,BSgenome,Genetics",,,Artistic-2.0,,BSgenome,,,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Amellifera.UCSC.apiMel2.masked,BSgenome.Amellifera.UCSC.apiMel2.masked
BSgenome.Amellifera.UCSC.apiMel2.masked,"AnnotationData,Apis_mellifera,BSgenome,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Amellifera.UCSC.apiMel2",,,"BSgenome(>= 1.31.8),BSgenome.Amellifera.UCSC.apiMel2",1.3.99,,,
BSgenome.Athaliana.TAIR.04232008,"AnnotationData,Arabidopsis_thaliana,BSgenome,Genetics",,,Artistic-2.0,,BSgenome,,,BSgenome(>= 1.33.5),1.3.1000,,,
BSgenome.Athaliana.TAIR.TAIR9,"AnnotationData,Arabidopsis_thaliana,BSgenome,Genetics",,,Artistic-2.0,,BSgenome,waveTiling,,BSgenome(>= 1.33.5),1.3.1000,,,
BSgenome.Btaurus.UCSC.bosTau3,"AnnotationData,BSgenome,Bos_taurus,Genetics",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Btaurus.UCSC.bosTau3.masked,BSgenome.Btaurus.UCSC.bosTau3.masked
BSgenome.Btaurus.UCSC.bosTau3.masked,"AnnotationData,BSgenome,Bos_taurus,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Btaurus.UCSC.bosTau3",,,"BSgenome(>= 1.31.8),BSgenome.Btaurus.UCSC.bosTau3",1.3.99,,,
BSgenome.Btaurus.UCSC.bosTau4,"AnnotationData,BSgenome,Bos_taurus,Genetics",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Btaurus.UCSC.bosTau4.masked,BSgenome.Btaurus.UCSC.bosTau4.masked
BSgenome.Btaurus.UCSC.bosTau4.masked,"AnnotationData,BSgenome,Bos_taurus,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Btaurus.UCSC.bosTau4",,,"BSgenome(>= 1.31.8),BSgenome.Btaurus.UCSC.bosTau4",1.3.99,,,
BSgenome.Btaurus.UCSC.bosTau6,"AnnotationData,BSgenome,Bos_taurus,Genetics",,,Artistic-2.0,,BSgenome,,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,BSgenome.Btaurus.UCSC.bosTau6.masked,BSgenome.Btaurus.UCSC.bosTau6.masked
BSgenome.Btaurus.UCSC.bosTau6.masked,"AnnotationData,BSgenome,Bos_taurus,Genetics",,,Artistic-2.0,,"BSgenome,BSgenome.Btaurus.UCSC.bosTau6",,,"BSgenome(>= 1.31.8),BSgenome.Btaurus.UCSC.bosTau6",1.3.99,,,
BSgenome.Celegans.UCSC.ce10,"AnnotationData,BSgenome,Caenorhabditis_elegans,Genetics",,,Artistic-2.0,,BSgenome,triplex,GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,,
BSgenome.Celegans.UCSC.ce2,"AnnotationData,BSgenome,Caenorhabditis_elegans,Genetics",,,Artistic-2.0,,BSgenome,"Biostrings,BSgenome,GenomeInfoDb,GenomicFeatures,IRanges",GenomicFeatures,BSgenome(>= 1.33.5),1.4.0,,,REDseq
BSgenome.Celegans.UCSC.ce6,"AnnotationData,BSgenome,Caenorhabditis_elegans,Genetics",,,Artistic-2.0,,BSgenome,,TxDb.Celegans.UCSC.ce6.ensGene,BSgenome(>= 1.33.5),1.4.0,,,
