,biocViews,Enhances,LinkingTo,License,URL,Imports,Suggests Me,Build Report,Suggests,Depends,Version,In Bioconductor since,Imports Me,Depends On Me,SystemRequirements
ABSSeq,"DifferentialExpression,Software",,Rcpp,GPL (>= 3),,Rcpp,,&nbsp;,,"R (>= 2.10), methods",1.2.0,BioC 2.14 (R-3.1),,,
ABarray,"Microarray,OneChannel,Preprocessing,Software",,,GPL,,"Biobase, graphics, grDevices, methods,multtest, stats, tcltk, utils",,&nbsp;,"limma,LPE",,1.34.0,BioC 1.9 (R-2.4),,,
ACME,"Microarray,Normalization,Software,Technology",,,GPL (>= 2),http://watson.nci.nih.gov/~sdavis,"graphics, stats",,&nbsp;,,"R (>= 2.10),Biobase(>= 2.5.5), methods,BiocGenerics",2.22.0,BioC 2.0 (R-2.5),,,
ADaCGH2,"CopyNumberVariants,Microarray,Software",Rmpi,,GPL (>= 3),,"bit,ffbase,DNAcopy,tilingArray,GLAD,waveslim,cluster,aCGH,snapCGH",,&nbsp;,"CGHregions,Cairo,limma","R (>= 2.15.0), parallel,ff",2.6.0,BioC 2.7 (R-2.12),,,
AGDEX,"GeneExpression,Genetics,Microarray,Software",,,GPL Version 2 or later,,stats,,&nbsp;,,"R (>= 2.10),Biobase,GSEABase",1.14.0,BioC 2.9 (R-2.14),,,
ALDEx2,"Bayesian,ChIPSeq,DNASeq,DifferentialExpression,GeneExpression,RNASeq,Sequencing,Software",,,file LICENSE,,GenomicRanges,,&nbsp;,"parallel,BiocParallel",methods,1.0.0,BioC 3.0 (R-3.1),,,
ARRmNormalization,"DNAMethylation,Microarray,Preprocessing,Software,TwoChannel",,,Artistic-2.0,,,,&nbsp;,,"R (>= 2.15.1),ARRmData",1.6.0,BioC 2.12 (R-3.0),,,
ASEB,"Proteomics,Software",,,GPL (>= 3),,"graphics, methods, utils",,&nbsp;,,"R (>= 2.8.0), methods",1.10.0,BioC 2.10 (R-2.15),,,
ASGSCA,"Software,StructuralEquationModels",,,GPL-3,,"Matrix,MASS",,&nbsp;,BiocStyle,,1.0.0,BioC 3.0 (R-3.1),,,
ASSET,Software,,,GPL-2 + file LICENSE,,,,&nbsp;,"RUnit,BiocGenerics","MASS,msm,rmeta",1.4.0,BioC 2.13 (R-3.0),,,
ASSIGN,"Bayesian,GeneExpression,Pathways,Software",,,MIT,,"graphics, grDevices, stats, utils",,&nbsp;,,"Rlab,msm,gplots",1.2.0,BioC 2.14 (R-3.1),,,
AffyCompatible,"Infrastructure,Microarray,OneChannel,Software",,,Artistic-2.0,,Biostrings,oneChannelGUI,&nbsp;,,"R (>= 2.7.0),XML(>= 2.8-1),RCurl(>= 0.8-1), methods",1.26.0,BioC 2.2 (R-2.7),IdMappingRetrieval,,
AffyExpress,"Annotation,DifferentialExpression,Microarray,OneChannel,Preprocessing,QualityControl,ReportWriting,Software,Visualization",,,LGPL,,,,&nbsp;,"simpleaffy,R2HTML,affyPLM,hgu95av2cdf,hgu95av2,test3cdf,genefilter,estrogen,annaffy,gcrma","R (>= 2.10),affy(>= 1.23.4),limma",1.32.0,BioC 2.1 (R-2.6),,,
AffyRNADegradation,"GeneExpression,Microarray,OneChannel,Preprocessing,QualityControl,Software",,,GPL-2,,,,&nbsp;,AmpAffyExample,"R (>= 2.9.0), methods,affy",1.12.0,BioC 2.10 (R-2.15),,,
AffyTiling,"Microarray,Preprocessing,Software",,,GPL (>= 2),,"affxparser,affy(>= 1.16), stats, utils,preprocessCore",,&nbsp;,,R (>= 2.6),1.24.0,BioC 2.4 (R-2.9),,,
AgiMicroRna,"AgilentChip,DifferentialExpression,Microarray,OneChannel,Preprocessing,Software",,,GPL-3,,Biobase,,&nbsp;,"geneplotter,marray,gplots,gtools,gdata,codelink","R (>= 2.10), methods,Biobase,limma,affy(>= 1.22),preprocessCore,affycoretools",2.16.0,BioC 2.5 (R-2.10),,,
AllelicImbalance,"Genetics,Infrastructure,Sequencing,Software",,,GPL-3,https://github.com/pappewaio/AllelicImbalance,"methods,BiocGenerics,AnnotationDbi,Biostrings,S4Vectors,IRanges,Rsamtools,GenomicFeatures,Gviz,lattice,GenomeInfoDb",,&nbsp;,"testthat,org.Hs.eg.db,TxDb.Hsapiens.UCSC.hg19.knownGene,SNPlocs.Hsapiens.dbSNP.20120608","R (>= 3.1.0), grid,GenomicRanges,GenomicAlignments",1.4.2,BioC 2.13 (R-3.0),,,
