"package","version"
"A3","0.9.2"
"abc","2.0"
"abcdeFBA","0.4"
"ABCExtremes","1.0"
"ABCoptim","0.13.11"
"ABCp2","1.1"
"abctools","1.0"
"abd","0.2-6"
"abf2","0.7-0"
"abind","1.4-0"
"abn","0.85"
"abundant","1.0"
"accelerometry","2.2.4"
"AcceptanceSampling","1.0-3"
"ACCLMA","1.0"
"accrual","1.0"
"accrued","1.2"
"ACD","1.5.3"
"acepack","1.3-3.3"
"acid","1.0"
"acm4r","1.0"
"ACNE","0.7.0"
"acnr","0.2.4"
"acopula","0.9.2"
"acp","1.0"
"aCRM","0.1.1"
"acs","1.2"
"acss","0.2-5"
"acss.data","1.0"
"ACTCD","1.0-0"
"Actigraphy","1.2"
"activity","1.0"
"actuar","1.1-8"
"ActuDistns","3.0"
"ada","2.0-3"
"adabag","3.2"
"adagio","0.5.9"
"AdapEnetClass","1.1"
"adaptDA","1.0"
"AdaptFit","0.2-2"
"AdaptFitOS","0.54"
"AdaptiveSparsity","1.4"
"adaptivetau","2.2"
"adaptMCMC","1.1"
"adaptsmoFMRI","1.1"
"adaptTest","1.0"
"additivityTests","1.1-2"
"addreg","1.2"
"ADDT","1.0"
"ade4","1.6-2"
"ade4TkGUI","0.2-6"
"adegenet","1.4-2"
"adehabitat","1.8.14"
"adehabitatHR","0.4.11"
"adehabitatHS","0.3.9"
"adehabitatLT","0.3.16"
"adehabitatMA","0.3.8"
"adephylo","1.1-6"
"AdequacyModel","1.0.8"
"ADGofTest","0.3"
"adhoc","1.0"
"adimpro","0.7.8"
"adlift","1.3-2"
"ADM3","1.3"
"AdMit","2.0.1"
"ads","1.5-2.1"
"adwave","1.0"
"aemo","0.1.0"
"AER","1.2-2"
"afex","0.12-135"
"affxparser",NA
"affy",NA
"affyio",NA
"AffymetrixDataTestFiles",NA
"affyPLM",NA
"AFLPsim","0.3-3"
"aftgee","1.0-0"
"AGD","0.30"
"agop","0.1-4"
"agRee","0.3-1"
"Agreement","0.8-1"
"agricolae","1.2-1"
"agridat","1.10"
"agrmt","1.39"
"AGSDest","2.1"
"agsemisc","1.3-1"
"ahaz","1.14"
"AICcmodavg","2.0-1"
"AID","1.4"
"aidar","1.0.0"
"AIM","1.01"
"akima","0.5-11"
"akmeans","1.1"
"alabama","2014.12-1"
"ALDqr","0.5"
"aLFQ","1.3.2"
"AlgDesign","1.1-7.3"
"algstat","0.0.2"
"ALKr","0.5.3.1"
"allan","1.01"
"allanvar","1.0"
"alleHap","0.7.2"
"allelematch","2.5"
"AlleleRetain","1.3.1"
"allelic","0.1"
"AllPossibleSpellings","1.1"
"alm","0.3.1"
"alphahull","1.0"
"alphashape3d","1.1"
"alr3","2.0.5"
"alr4","1.0.5"
"ALS","0.0.5"
"ALSCPC","1.0"
"amap","0.8-12"
"AMAP.Seq","1.0"
"amei","1.0-7"
"Amelia","1.7.3"
"amen","0.999"
"AmericanCallOpt","0.95"
"AMGET","1.0"
"aml","0.1-1"
"AMOEBA","1.1"
"AMORE","0.2-15"
"AmpliconDuo","1.0"
