"date","cran","snapshot"
2013-09-03,4792,4930
2013-09-04,4792,4930
2013-09-05,4803,4940
2013-09-06,4803,4940
2013-09-07,4806,4943
2013-09-08,4806,4943
2013-09-09,4806,4943
2013-09-10,4807,4944
2013-09-11,4807,4944
2013-09-12,4816,4953
2013-09-13,4816,4953
2013-09-14,4823,4960
2013-09-15,4823,4960
2013-09-16,4823,4960
2013-09-17,4828,4965
2013-09-18,4828,4965
2013-09-19,4837,4974
2013-09-20,4837,4974
2013-09-21,4838,4975
2013-09-22,4838,4975
2013-09-23,4838,4975
2013-09-24,4837,4971
2013-09-25,4837,4971
2013-09-26,4848,4984
2013-09-27,4848,4984
2013-09-28,4847,4984
2013-09-29,4847,4984
2013-09-30,4847,4984
2013-10-01,4854,4991
2013-10-02,4854,4991
2013-10-03,4863,5000
2013-10-04,4863,5000
2013-10-05,4868,5005
2013-10-06,4868,5005
2013-10-07,4868,5005
2013-10-08,4868,5005
2013-10-09,4868,5005
2013-10-10,4880,5018
2013-10-11,4880,5018
2013-10-12,4880,5018
2013-10-13,4880,5018
2013-10-14,4880,5018
2013-10-15,4880,5018
2013-10-16,4880,5018
2013-10-17,4910,5046
2013-10-18,4910,5046
2013-10-19,4917,5054
2013-10-20,4917,5054
2013-10-21,4917,5054
2013-10-22,4927,5064
2013-10-23,4927,5064
2013-10-24,4938,5075
2013-10-25,4938,5075
2013-10-26,4943,5081
2013-10-27,4943,5081
2013-10-28,4943,5081
2013-10-29,4950,5087
2013-10-30,4950,5087
2013-10-31,4959,5096
2013-11-01,4959,5096
2013-11-02,4969,5106
2013-11-03,4969,5106
2013-11-04,4969,5106
2013-11-05,4975,5112
2013-11-06,4975,5112
2013-11-07,4981,5118
2013-11-08,4981,5118
2013-11-09,4987,5124
2013-11-10,4987,5124
2013-11-11,4987,5124
2013-11-12,4996,5133
2013-11-13,4996,5133
2013-11-14,4999,5136
2013-11-15,4999,5136
2013-11-16,5009,5009
2013-11-17,5009,5009
2013-11-18,5009,5009
2013-11-19,5016,5016
2013-11-20,5016,5016
2013-11-21,5021,5021
2013-11-22,5021,5021
2013-11-23,5024,5024
2013-11-24,5024,5024
2013-11-25,5024,5024
2013-11-26,5033,5033
2013-11-27,5033,5033
2013-11-28,5041,5041
2013-11-29,5041,5041
2013-11-30,5051,5051
2013-12-01,5051,5051
2013-12-02,5051,5051
2013-12-03,5053,5053
2013-12-04,5053,5053
2013-12-05,5057,5057
2013-12-06,5057,5057
2013-12-07,5057,5057
2013-12-08,5057,5057
2013-12-09,5057,5197
2013-12-10,5063,5203
2013-12-11,5063,5203
2013-12-12,5063,5203
2013-12-13,5063,5203
2013-12-14,5069,5209
2013-12-15,5069,5209
2013-12-16,5069,5209
2013-12-17,5074,5214
2013-12-18,5074,5214
2013-12-19,5079,5216
2013-12-20,5079,5216
2013-12-21,5084,5222
2013-12-22,5084,5222
2013-12-23,5084,5222
2013-12-24,5036,5174
2013-12-25,5036,5174
2013-12-26,5042,5179
2013-12-27,5042,5179
2013-12-28,5044,5181
2013-12-29,5044,5181
2013-12-30,5044,5181
2013-12-31,5051,5188
2014-01-01,5051,5188
2014-01-02,5060,5197
2014-01-03,5060,5197
2014-01-04,5042,5179
2014-01-05,5042,5179
2014-01-06,5042,5179
2014-01-07,5051,5188
2014-01-08,5051,5188
2014-01-09,5059,5197
2014-01-10,5075,5213
2014-01-11,5075,5213
2014-01-13,5075,5213
2014-01-14,5075,5213
2014-01-15,5078,5216
2014-01-16,5090,5228
2014-01-17,5090,5228
2014-01-18,5101,5239
2014-01-19,5101,5239
2014-01-20,5101,5239
2014-01-21,5116,5254
2014-01-22,5116,5254
